customer_id,total_orders,total_revenue,avg_unit_price,avg_quantity,cumulative_revenue,cumulative_revenue_pct,cumulative_customer_pct,segment
CUST_0422,141,560490.37,155.02,25.96,211571236.96999994,71.24396291083764,20.0,Tier 2 – Core
CUST_0421,145,557751.5,147.02,25.87,212128988.46999994,71.43177873943772,20.200000000000003,Tier 2 – Core
CUST_0315,163,553937.79,144.4,23.57,212682926.25999993,71.6183103489838,20.4,Tier 2 – Core
CUST_0309,146,551390.14,143.36,25.6,213234316.39999992,71.80398406931626,20.599999999999998,Tier 2 – Core
CUST_0297,137,548006.1,158.85,25.93,213782322.4999999,71.98851825658316,20.8,Tier 2 – Core
CUST_0445,143,547574.34,144.73,25.99,214329896.8399999,72.17290705408033,21.0,Tier 2 – Core
CUST_0379,166,542804.74,132.94,24.57,214872701.57999992,72.355689748544,21.2,Tier 2 – Core
CUST_0215,122,541311.07,163.9,26.42,215414012.64999992,72.5379694683519,21.4,Tier 2 – Core
CUST_0121,153,540280.94,144.86,24.82,215954293.5899999,72.71990230479058,21.6,Tier 2 – Core
CUST_0277,141,537168.62,153.79,25.59,216491462.20999992,72.90078710646887,21.8,Tier 2 – Core
CUST_0386,154,529204.99,138.76,24.72,217020667.19999993,73.07899025553462,22.0,Tier 2 – Core
CUST_0093,134,521289.88,137.28,27.52,217541957.07999992,73.25452809048986,22.2,Tier 2 – Core
CUST_0394,122,521168.52,162.49,24.76,218063125.59999993,73.43002505898582,22.400000000000002,Tier 2 – Core
CUST_0026,133,513718.65,137.15,26.91,218576844.24999994,73.60301337711148,22.6,Tier 2 – Core
CUST_0117,138,497258.38,154.94,24.49,219074102.62999994,73.77045890557359,22.8,Tier 2 – Core
CUST_0280,141,496412.61,137.42,25.33,219570515.23999995,73.9376196315863,23.0,Tier 2 – Core
CUST_0068,139,486787.36,150.76,24.46,220057302.59999996,74.10153917527278,23.200000000000003,Tier 2 – Core
CUST_0036,131,465695.67,136.92,26.17,220522998.26999995,74.25835635664569,23.400000000000002,Tier 2 – Core
CUST_0448,131,465062.73,145.23,25.05,220988060.99999994,74.4149604034048,23.599999999999998,Tier 2 – Core
CUST_0158,117,460709.97,151.54,25.34,221448770.96999994,74.57009871277711,23.799999999999997,Tier 2 – Core
CUST_0451,137,458482.31,136.72,24.72,221907253.27999994,74.72448688555858,24.0,Tier 2 – Core
CUST_0218,134,453014.83,133.67,25.03,222360268.10999995,74.8770339529615,24.2,Tier 2 – Core
CUST_0385,112,452747.15,163.93,25.32,222813015.25999996,75.02949088247863,24.4,Tier 2 – Core
CUST_0077,125,450233.73,141.53,25.66,223263248.98999995,75.18110144930571,24.6,Tier 2 – Core
CUST_0071,117,445499.27,155.39,24.2,223708748.25999996,75.33111774605395,24.8,Tier 2 – Core
CUST_0272,138,443448.67,129.85,23.44,224152196.92999995,75.48044352894769,25.0,Tier 2 – Core
CUST_0322,95,436472.94,167.56,26.6,224588669.86999995,75.6274203221748,25.2,Tier 2 – Core
CUST_0432,120,435745.99,137.64,26.77,225024415.85999995,75.77415232409861,25.4,Tier 2 – Core
CUST_0332,110,416232.79,148.0,26.27,225440648.64999995,75.91431350043678,25.6,Tier 2 – Core
CUST_0160,108,415747.58,154.19,24.3,225856396.22999996,76.05431128838747,25.8,Tier 2 – Core
CUST_0052,126,415041.83,140.43,23.98,226271438.05999997,76.1940714238692,26.0,Tier 2 – Core
CUST_0326,105,412731.83,152.64,26.0,226684169.89,76.33305369579689,26.200000000000003,Tier 2 – Core
CUST_0463,114,412209.25,140.24,26.2,227096379.14,76.47185999545789,26.400000000000002,Tier 2 – Core
CUST_0095,105,409758.82,147.17,27.18,227506137.95999998,76.60984114352202,26.6,Tier 2 – Core
CUST_0266,122,409539.43,138.62,23.59,227915677.39,76.74774841475276,26.8,Tier 2 – Core
CUST_0076,97,399858.63,159.59,25.36,228315536.01999998,76.88239579789085,27.0,Tier 2 – Core
CUST_0436,103,396107.03,147.18,25.32,228711643.04999998,77.01577987673916,27.200000000000003,Tier 2 – Core
CUST_0400,104,383620.3,139.65,25.41,229095263.35,77.14495920572763,27.400000000000002,Tier 2 – Core
CUST_0231,127,383452.86,141.68,21.68,229478716.21,77.27408215139424,27.6,Tier 2 – Core
CUST_0108,104,383434.65,153.62,24.82,229862150.86,77.40319896507154,27.800000000000004,Tier 2 – Core
CUST_0439,97,382136.16,155.02,24.78,230244287.02,77.53187852851234,28.000000000000004,Tier 2 – Core
CUST_0279,102,381263.86,145.86,24.64,230625550.88000003,77.66026435585869,28.199999999999996,Tier 2 – Core
CUST_0389,115,378026.92,138.89,23.55,231003577.8,77.7875601842212,28.4,Tier 2 – Core
CUST_0003,105,370674.84,142.84,25.4,231374252.64000002,77.91238029177053,28.599999999999998,Tier 2 – Core
CUST_0305,104,370569.94,134.2,26.69,231744822.58,78.03716507555933,28.799999999999997,Tier 3 – Growth
CUST_0171,89,369226.39,161.64,25.51,232114048.97,78.16149743572129,28.999999999999996,Tier 3 – Growth
CUST_0316,98,368400.19,148.31,24.97,232482449.16,78.28555158338611,29.2,Tier 3 – Growth
CUST_0138,98,366961.86,143.3,25.27,232849411.02,78.40912139144673,29.4,Tier 3 – Growth
CUST_0177,88,366196.73,160.72,25.53,233215607.75,78.53243355156748,29.599999999999998,Tier 3 – Growth
CUST_0420,107,359165.12,132.98,24.7,233574772.87,78.65337790513183,29.799999999999997,Tier 3 – Growth
CUST_0082,83,356666.5,158.26,27.04,233931439.37,78.77348087972067,30.0,Tier 3 – Growth
CUST_0258,103,353767.08,140.91,25.6,234285206.45000002,78.89260751095632,30.2,Tier 3 – Growth
CUST_0419,85,351619.91,173.03,23.51,234636826.36,79.01101110960005,30.4,Tier 3 – Growth
CUST_0482,93,351064.72,145.71,25.03,234987891.08,79.1292277549682,30.599999999999998,Tier 3 – Growth
CUST_0092,107,349335.7,147.09,21.57,235337226.78,79.2468621745172,30.8,Tier 3 – Growth
CUST_0278,74,345593.39,155.68,28.49,235682820.17,79.36323641806753,31.0,Tier 3 – Growth
CUST_0433,92,343499.3,142.27,25.4,236026319.47,79.4789055030508,31.2,Tier 3 – Growth
CUST_0197,116,340781.3,132.03,23.27,236367100.77,79.59365933559256,31.4,Tier 3 – Growth
CUST_0356,90,333589.42,141.16,28.02,236700690.19,79.7059913926637,31.6,Tier 3 – Growth
CUST_0186,92,332398.78,150.34,24.23,237033088.97,79.81792251663443,31.8,Tier 3 – Growth
CUST_0010,89,330881.08,146.24,25.71,237363970.05,79.92934257414801,32.0,Tier 3 – Growth
CUST_0267,83,328963.36,158.35,24.82,237692933.41000003,80.04011686348201,32.2,Tier 3 – Growth
CUST_0157,88,327719.05,145.5,25.52,238020652.46000004,80.15047214701559,32.4,Tier 3 – Growth
CUST_0219,73,324835.56,158.26,28.26,238345488.02000004,80.25985645142387,32.6,Tier 3 – Growth
CUST_0268,94,323701.67,140.31,23.79,238669189.69000003,80.36885893258308,32.800000000000004,Tier 3 – Growth
CUST_0201,83,321938.27,151.33,25.57,238991127.96000004,80.47726761088899,33.0,Tier 3 – Growth
CUST_0304,85,317354.62,153.28,25.22,239308482.58000004,80.58413280249378,33.2,Tier 3 – Growth
CUST_0147,81,316503.74,157.09,23.62,239624986.32000005,80.6907114709207,33.4,Tier 3 – Growth
CUST_0175,95,316048.14,131.7,24.12,239941034.46000004,80.79713672175663,33.6,Tier 3 – Growth
CUST_0353,86,315757.61,142.26,26.14,240256792.07000005,80.90346414025561,33.800000000000004,Tier 3 – Growth
CUST_0328,79,315262.35,161.76,24.59,240572054.42000005,81.00962478615554,34.0,Tier 3 – Growth
CUST_0039,98,314945.44,153.69,21.63,240886999.86000004,81.11567871658409,34.2,Tier 3 – Growth
CUST_0104,77,314165.61,153.75,26.14,241201165.47000006,81.22147004903196,34.4,Tier 3 – Growth
CUST_0046,95,313204.89,138.31,24.75,241514370.36000004,81.32693787105833,34.599999999999994,Tier 3 – Growth
CUST_0358,73,312104.73,170.3,24.45,241826475.09000003,81.43203522799051,34.8,Tier 3 – Growth
CUST_0194,80,311675.29,152.15,26.16,242138150.38000003,81.53698797638387,35.0,Tier 3 – Growth
CUST_0087,101,310386.47,131.67,23.06,242448536.85000002,81.64150673079206,35.199999999999996,Tier 3 – Growth
CUST_0075,86,307780.15,131.94,28.17,242756317.00000003,81.74514783959931,35.4,Tier 3 – Growth
CUST_0492,84,305123.51,150.56,25.38,243061440.51000002,81.84789435817615,35.6,Tier 3 – Growth
CUST_0338,88,304538.42,137.68,25.15,243365978.93,81.95044385502709,35.8,Tier 3 – Growth
CUST_0163,74,303133.87,149.3,27.54,243669112.8,82.05252038726555,36.0,Tier 3 – Growth
CUST_0029,90,302216.62,130.11,26.83,243971329.42000002,82.1542880470603,36.199999999999996,Tier 3 – Growth
CUST_0004,84,301093.06,143.23,24.71,244272422.48000002,82.25567736210408,36.4,Tier 3 – Growth
CUST_0382,86,293514.84,140.58,24.13,244565937.32000002,82.35451480652335,36.6,Tier 3 – Growth
CUST_0212,80,292835.54,147.69,25.48,244858772.86,82.45312350517975,36.8,Tier 3 – Growth
CUST_0211,71,288204.39,149.44,26.39,245146977.25,82.55017272210526,37.0,Tier 3 – Growth
CUST_0205,81,287871.84,139.0,25.09,245434849.09,82.64710995698536,37.2,Tier 3 – Growth
CUST_0222,77,287434.01,141.53,25.6,245722283.1,82.74389975809927,37.4,Tier 3 – Growth
CUST_0462,81,285885.36,139.23,23.63,246008168.46,82.84016807073141,37.6,Tier 3 – Growth
CUST_0347,69,285363.56,156.5,27.32,246293532.02,82.93626067375205,37.8,Tier 3 – Growth
CUST_0364,69,284016.59,156.8,25.88,246577548.61,83.03189970150369,38.0,Tier 3 – Growth
CUST_0323,76,282247.61,153.01,25.26,246859796.22000003,83.12694304740691,38.2,Tier 3 – Growth
CUST_0028,74,280416.39,167.55,23.88,247140212.61,83.22136975292163,38.4,Tier 3 – Growth
CUST_0088,77,279509.52,138.67,24.91,247419722.13000003,83.31549108132758,38.6,Tier 3 – Growth
CUST_0360,65,278912.86,154.83,26.0,247698634.99000004,83.40941149195511,38.800000000000004,Tier 3 – Growth
CUST_0236,83,273080.64,145.29,24.3,247971715.63000003,83.50136797557951,39.0,Tier 3 – Growth
CUST_0066,65,272826.21,158.64,26.82,248244541.84000003,83.59323878308962,39.2,Tier 3 – Growth
CUST_0374,80,271010.6,140.05,24.99,248515552.44000003,83.6844982066831,39.4,Tier 3 – Growth
CUST_0259,62,270342.67,157.63,27.76,248785895.11,83.77553271321872,39.6,Tier 3 – Growth
CUST_0362,66,268976.5,162.39,24.18,249054871.61,83.86610717912595,39.800000000000004,Tier 3 – Growth
CUST_0048,76,268566.83,147.43,23.46,249323438.44000003,83.95654369379413,40.0,Tier 3 – Growth
CUST_0452,69,268130.45,171.66,22.65,249591568.89000002,84.04683326296545,40.2,Tier 3 – Growth
CUST_0346,71,265625.23,148.37,25.24,249857194.12,84.13627923069397,40.400000000000006,Tier 3 – Growth
CUST_0276,67,263631.48,162.8,24.45,250120825.6,84.2250538280931,40.6,Tier 3 – Growth
CUST_0299,76,262630.49,151.83,22.91,250383456.09,84.31349135465287,40.8,Tier 3 – Growth
CUST_0321,66,261117.58,156.17,26.62,250644573.67000002,84.40141942772797,41.0,Tier 3 – Growth
CUST_0303,60,258476.64,171.35,25.23,250903050.31,84.48845819735094,41.199999999999996,Tier 3 – Growth
CUST_0021,60,258292.29,149.12,28.25,251161342.6,84.57543488942143,41.4,Tier 3 – Growth
CUST_0464,75,257459.7,148.13,23.07,251418802.29999998,84.66213121724238,41.6,Tier 3 – Growth
CUST_0064,58,256799.51,172.53,24.24,251675601.80999997,84.74860523435348,41.8,Tier 3 – Growth
CUST_0115,65,255026.42,169.3,23.37,251930628.22999996,84.83448218562518,42.0,Tier 3 – Growth
CUST_0170,68,254941.58,146.43,26.32,252185569.80999997,84.92033056808997,42.199999999999996,Tier 3 – Growth
CUST_0208,76,253250.05,125.75,25.72,252438819.85999998,85.00560934902335,42.4,Tier 3 – Growth
CUST_0188,61,252716.05,163.89,24.02,252691535.91,85.09070831214812,42.6,Tier 3 – Growth
CUST_0009,60,252151.54,150.64,28.05,252943687.45,85.17561718360412,42.8,Tier 3 – Growth
CUST_0290,67,251866.0,150.17,24.37,253195553.45,85.26042990304312,43.0,Tier 3 – Growth
CUST_0196,61,251615.96,152.17,26.21,253447169.41,85.34515842464532,43.2,Tier 3 – Growth
CUST_0288,58,251449.24,166.3,25.12,253698618.65,85.42983080537662,43.4,Tier 3 – Growth
CUST_0102,72,250257.38,153.42,23.6,253948876.03,85.5141018421878,43.6,Tier 3 – Growth
CUST_0162,82,249892.32,128.18,24.6,254198768.35,85.59824994961843,43.8,Tier 3 – Growth
CUST_0444,60,246255.23,152.2,28.0,254445023.57999998,85.6811733125669,44.0,Tier 3 – Growth
CUST_0414,67,243206.82,142.24,24.7,254688230.39999998,85.76307016164661,44.2,Tier 3 – Growth
CUST_0256,70,242500.69,135.93,25.51,254930731.08999997,85.84472923029716,44.4,Tier 3 – Growth
CUST_0453,56,240918.62,152.09,29.93,255171649.70999998,85.92585555669966,44.6,Tier 3 – Growth
CUST_0230,75,240770.63,141.61,21.87,255412420.33999997,86.00693204932408,44.800000000000004,Tier 3 – Growth
CUST_0275,64,239950.5,149.96,24.33,255652370.83999997,86.08773237344782,45.0,Tier 3 – Growth
CUST_0049,63,239235.41,158.11,24.75,255891606.24999997,86.16829189997466,45.2,Tier 3 – Growth
CUST_0317,62,237379.37,152.75,24.87,256128985.61999997,86.248226428289,45.4,Tier 3 – Growth
CUST_0103,57,236828.91,152.46,27.49,256365814.52999997,86.327975596096,45.6,Tier 3 – Growth
CUST_0466,54,235797.78,163.9,24.94,256601612.30999997,86.40737754379629,45.800000000000004,Tier 3 – Growth
CUST_0383,70,234995.66,144.59,24.01,256836607.96999997,86.48650938763771,46.0,Tier 3 – Growth
CUST_0483,55,233755.23,162.7,25.15,257070363.19999996,86.5652235322201,46.2,Tier 3 – Growth
CUST_0351,76,233511.2,141.45,21.38,257303874.39999995,86.64385550275787,46.400000000000006,Tier 3 – Growth
CUST_0480,63,232365.45,150.27,22.94,257536239.84999993,86.72210165634021,46.6,Tier 3 – Growth
CUST_0042,56,232256.82,171.76,24.95,257768496.66999993,86.80031123013126,46.800000000000004,Tier 3 – Growth
CUST_0213,70,231802.09,140.55,23.73,258000298.75999993,86.87836767929291,47.0,Tier 3 – Growth
CUST_0458,52,231330.6,167.65,24.08,258231629.35999992,86.95626536010515,47.199999999999996,Tier 3 – Growth
CUST_0148,53,230191.66,161.08,26.02,258461821.01999992,87.03377951714413,47.4,Tier 3 – Growth
CUST_0239,75,227578.38,134.45,24.11,258689399.39999992,87.11041368488938,47.599999999999994,Tier 3 – Growth
CUST_0341,57,225783.38,158.9,23.16,258915182.7799999,87.18644340887725,47.8,Tier 3 – Growth
CUST_0018,59,224870.38,162.5,23.83,259140053.1599999,87.26216569155568,48.0,Tier 3 – Growth
CUST_0097,54,224322.13,172.44,23.04,259364375.2899999,87.33770335791657,48.199999999999996,Tier 3 – Growth
CUST_0481,64,224167.46,131.46,25.95,259588542.7499999,87.41318894109308,48.4,Tier 3 – Growth
CUST_0019,47,223828.51,163.13,28.53,259812371.2599999,87.48856038710437,48.6,Tier 3 – Growth
CUST_0485,61,222667.27,139.79,24.33,260035038.5299999,87.56354080009685,48.8,Tier 3 – Growth
CUST_0189,59,222032.43,149.16,24.42,260257070.95999992,87.63830743867432,49.0,Tier 3 – Growth
CUST_0484,66,220888.37,145.3,23.35,260477959.32999992,87.71268882938267,49.2,Tier 3 – Growth
CUST_0126,59,220497.21,152.07,22.83,260698456.53999993,87.78693850186255,49.4,Tier 3 – Growth
CUST_0350,59,219943.66,139.48,26.25,260918400.19999993,87.86100177331629,49.6,Tier 3 – Growth
CUST_0327,60,219635.78,150.7,25.0,261138035.97999993,87.934961370038,49.8,Tier 3 – Growth
CUST_0061,56,219059.88,161.05,24.38,261357095.85999992,88.00872703965112,50.0,Tier 3 – Growth
CUST_0497,57,217146.03,146.45,25.63,261574241.88999993,88.08184824425868,50.2,Tier 3 – Growth
CUST_0055,67,217081.37,126.58,25.15,261791323.25999993,88.15494767542145,50.4,Tier 3 – Growth
CUST_0221,63,216833.09,143.99,25.32,262008156.34999993,88.22796350140537,50.6,Tier 3 – Growth
CUST_0285,64,216024.85,133.51,26.73,262224181.19999993,88.30070716269711,50.8,Tier 3 – Growth
CUST_0143,52,215660.16,153.64,26.31,262439841.35999992,88.37332801920117,51.0,Tier 3 – Growth
CUST_0449,54,215488.51,139.98,27.56,262655329.86999992,88.44589107471863,51.2,Tier 3 – Growth
CUST_0131,53,213182.77,162.03,24.08,262868512.63999993,88.51767770118366,51.4,Tier 3 – Growth
CUST_0120,60,212531.14,141.66,27.63,263081043.7799999,88.58924489941157,51.6,Tier 3 – Growth
CUST_0247,55,211717.19,164.97,22.96,263292760.9699999,88.66053801017637,51.800000000000004,Tier 3 – Growth
CUST_0456,59,211304.34,147.48,25.05,263504065.3099999,88.73169209887696,52.0,Tier 3 – Growth
